,origin,destination,walking,cycling
0,BoaltHall,BoaltHall,0,0
1,BoaltHall,CareerCenter,8,1
2,BoaltHall,ClarkKerrCampus,11,5
3,BoaltHall,CoryHall,12,5
4,BoaltHall,DwinelleHall,10,3
5,BoaltHall,EtcheverryHall,14,5
6,BoaltHall,EvansHall,11,4
7,BoaltHall,GreekTheatre,12,8
8,BoaltHall,HaasPavilion,10,2
9,BoaltHall,HearstFieldAnnex,5,1
10,BoaltHall,MartinLutherKingJr.StudentUnion,8,2
11,BoaltHall,PimentelHall,9,4
12,BoaltHall,RecreationalSportsFacility,10,2
13,BoaltHall,SodaHall,13,6
14,BoaltHall,Unit1ResidentHall,4,1
15,BoaltHall,Unit2ResidentHall,6,2
16,BoaltHall,Unit3ResidentHall,9,3
17,BoaltHall,ValleyLifeSciencesBuilding,12,2
18,BoaltHall,WheelerHall,8,3
19,BoaltHall,ZellerbachHall,9,2
20,CareerCenter,BoaltHall,9,7
21,CareerCenter,CareerCenter,0,0
22,CareerCenter,ClarkKerrCampus,20,10
23,CareerCenter,CoryHall,14,9
24,CareerCenter,DwinelleHall,5,3
25,CareerCenter,EtcheverryHall,13,6
26,CareerCenter,EvansHall,11,6
27,CareerCenter,GreekTheatre,17,13
28,CareerCenter,HaasPavilion,2,1
29,CareerCenter,HearstFieldAnnex,3,4
30,CareerCenter,MartinLutherKingJr.StudentUnion,1,1
31,CareerCenter,PimentelHall,12,6
32,CareerCenter,RecreationalSportsFacility,2,1
33,CareerCenter,SodaHall,13,8
34,CareerCenter,Unit1ResidentHall,7,4
35,CareerCenter,Unit2ResidentHall,10,6
36,CareerCenter,Unit3ResidentHall,2,1
37,CareerCenter,ValleyLifeSciencesBuilding,5,1
38,CareerCenter,WheelerHall,6,3
39,CareerCenter,ZellerbachHall,1,1
40,ClarkKerrCampus,BoaltHall,11,5
41,ClarkKerrCampus,CareerCenter,18,6
42,ClarkKerrCampus,ClarkKerrCampus,0,0
43,ClarkKerrCampus,CoryHall,21,8
44,ClarkKerrCampus,DwinelleHall,20,8
45,ClarkKerrCampus,EtcheverryHall,23,8
46,ClarkKerrCampus,EvansHall,21,9
47,ClarkKerrCampus,GreekTheatre,21,11
48,ClarkKerrCampus,HaasPavilion,20,7
49,ClarkKerrCampus,HearstFieldAnnex,15,6
50,ClarkKerrCampus,MartinLutherKingJr.StudentUnion,17,6
51,ClarkKerrCampus,PimentelHall,18,7
52,ClarkKerrCampus,RecreationalSportsFacility,20,7
53,ClarkKerrCampus,SodaHall,22,9
54,ClarkKerrCampus,Unit1ResidentHall,11,6
55,ClarkKerrCampus,Unit2ResidentHall,9,4
56,ClarkKerrCampus,Unit3ResidentHall,17,7
57,ClarkKerrCampus,ValleyLifeSciencesBuilding,2,7
58,ClarkKerrCampus,WheelerHall,19,8
59,ClarkKerrCampus,ZellerbachHall,19,6
60,CoryHall,BoaltHall,12,4
61,CoryHall,CareerCenter,13,4
62,CoryHall,ClarkKerrCampus,21,8
63,CoryHall,CoryHall,0,0
64,CoryHall,DwinelleHall,9,4
65,CoryHall,EtcheverryHall,1,1
66,CoryHall,EvansHall,3,2
67,CoryHall,GreekTheatre,8,7
68,CoryHall,HaasPavilion,12,4
69,CoryHall,HearstFieldAnnex,11,5
70,CoryHall,MartinLutherKingJr.StudentUnion,12,4
71,CoryHall,PimentelHall,5,2
72,CoryHall,RecreationalSportsFacility,15,4
73,CoryHall,SodaHall,1,1
74,CoryHall,Unit1ResidentHall,13,5
75,CoryHall,Unit2ResidentHall,16,6
76,CoryHall,Unit3ResidentHall,14,5
77,CoryHall,ValleyLifeSciencesBuilding,10,3
78,CoryHall,WheelerHall,8,3
79,CoryHall,ZellerbachHall,14,4
80,DwinelleHall,BoaltHall,12,7
81,DwinelleHall,CareerCenter,4,2
82,DwinelleHall,ClarkKerrCampus,22,11
83,DwinelleHall,CoryHall,11,8
84,DwinelleHall,DwinelleHall,0,0
85,DwinelleHall,EtcheverryHall,9,5
86,DwinelleHall,EvansHall,8,5
87,DwinelleHall,GreekTheatre,13,12
88,DwinelleHall,HaasPavilion,5,2
89,DwinelleHall,HearstFieldAnnex,5,4
90,DwinelleHall,MartinLutherKingJr.StudentUnion,4,2
91,DwinelleHall,PimentelHall,8,5
92,DwinelleHall,RecreationalSportsFacility,7,3
93,DwinelleHall,SodaHall,10,7
94,DwinelleHall,Unit1ResidentHall,9,6
95,DwinelleHall,Unit2ResidentHall,12,7
96,DwinelleHall,Unit3ResidentHall,6,4
97,DwinelleHall,ValleyLifeSciencesBuilding,4,2
98,DwinelleHall,WheelerHall,3,2
99,DwinelleHall,ZellerbachHall,6,3
100,EtcheverryHall,BoaltHall,14,5
101,EtcheverryHall,CareerCenter,11,4
102,EtcheverryHall,ClarkKerrCampus,23,9
103,EtcheverryHall,CoryHall,2,1
104,EtcheverryHall,DwinelleHall,8,4
105,EtcheverryHall,EtcheverryHall,0,0
106,EtcheverryHall,EvansHall,4,2
107,EtcheverryHall,GreekTheatre,10,8
108,EtcheverryHall,HaasPavilion,11,3
109,EtcheverryHall,HearstFieldAnnex,12,6
110,EtcheverryHall,MartinLutherKingJr.StudentUnion,10,3
111,EtcheverryHall,PimentelHall,4,7
112,EtcheverryHall,RecreationalSportsFacility,14,4
113,EtcheverryHall,SodaHall,1,1
114,EtcheverryHall,Unit1ResidentHall,15,7
115,EtcheverryHall,Unit2ResidentHall,17,7
116,EtcheverryHall,Unit3ResidentHall,13,5
117,EtcheverryHall,ValleyLifeSciencesBuilding,8,2
118,EtcheverryHall,WheelerHall,8,3
119,EtcheverryHall,ZellerbachHall,12,4
120,EvansHall,BoaltHall,11,5
121,EvansHall,CareerCenter,10,3
122,EvansHall,ClarkKerrCampus,21,9
123,EvansHall,CoryHall,4,5
124,EvansHall,DwinelleHall,7,3
125,EvansHall,EtcheverryHall,4,2
126,EvansHall,EvansHall,0,0
127,EvansHall,GreekTheatre,8,9
128,EvansHall,HaasPavilion,9,3
129,EvansHall,HearstFieldAnnex,8,4
130,EvansHall,MartinLutherKingJr.StudentUnion,9,3
131,EvansHall,PimentelHall,3,2
132,EvansHall,RecreationalSportsFacility,12,4
133,EvansHall,SodaHall,3,4
134,EvansHall,Unit1ResidentHall,11,6
135,EvansHall,Unit2ResidentHall,13,6
136,EvansHall,Unit3ResidentHall,11,4
137,EvansHall,ValleyLifeSciencesBuilding,7,2
138,EvansHall,WheelerHall,5,2
139,EvansHall,ZellerbachHall,11,3
140,GreekTheatre,BoaltHall,11,8
141,GreekTheatre,CareerCenter,14,9
142,GreekTheatre,ClarkKerrCampus,20,12
143,GreekTheatre,CoryHall,7,7
144,GreekTheatre,DwinelleHall,11,9
145,GreekTheatre,EtcheverryHall,9,7
146,GreekTheatre,EvansHall,7,8
147,GreekTheatre,GreekTheatre,0,0
148,GreekTheatre,HaasPavilion,14,8
149,GreekTheatre,HearstFieldAnnex,13,8
150,GreekTheatre,MartinLutherKingJr.StudentUnion,13,9
151,GreekTheatre,PimentelHall,4,6
152,GreekTheatre,RecreationalSportsFacility,16,9
153,GreekTheatre,SodaHall,8,8
154,GreekTheatre,Unit1ResidentHall,13,9
155,GreekTheatre,Unit2ResidentHall,15,10
156,GreekTheatre,Unit3ResidentHall,16,10
157,GreekTheatre,ValleyLifeSciencesBuilding,12,8
158,GreekTheatre,WheelerHall,10,7
159,GreekTheatre,ZellerbachHall,15,9
160,HaasPavilion,BoaltHall,12,7
161,HaasPavilion,CareerCenter,3,2
162,HaasPavilion,ClarkKerrCampus,23,11
163,HaasPavilion,CoryHall,14,8
164,HaasPavilion,DwinelleHall,5,3
165,HaasPavilion,EtcheverryHall,12,6
166,HaasPavilion,EvansHall,11,5
167,HaasPavilion,GreekTheatre,17,12
168,HaasPavilion,HaasPavilion,0,0
169,HaasPavilion,HearstFieldAnnex,6,4
170,HaasPavilion,MartinLutherKingJr.StudentUnion,4,2
