Based on the data from ratemyprofessor.com, we collect the difficulty and quality for each (professor,course) pair(3680 professors * 5-10 courses each).
Also, we try to count the frequency of positive and negative words in students' comment and add/subtract points based on those data.

Some examples of the final rating we provide:

(u'WILDS, T', u'FRE1') 0.5
(u'CARNEY, D', u'UGBA105') 0.75
(u'WIMMER, M', u'RHET112') 0.125
(u'WIMMER, M', u'RHET104') 0.125
(u'WIMMER, M', u'R104') 0.0
(u'SHRUBEN, L', u'IEOR131') 0.25
(u'GESINSKI, M', u'CHEM3') 0.15
(u'GESINSKI, M', u'CHEM3B') 0.25
(u'SAHAI, A', u'EE121') -0.0125
(u'SAHAI, A', u'142') -0.05
(u'SAHAI, A', u'EE16A') 0.00625
(u'SAHAI, A', u'EE16B') -0.0375
(u'SAHAI, A', u'CS70') -0.01875
(u'WINER, J', u'MCB163') 0.0
(u'WINER, J', u'MCB160') 0.0
(u'LOVELL, M', u'HA185A') -0.0454545454545
(u'LOVELL, M', u'HISAR185A') 0.0227272727273
(u'LOVELL, M', u'AH183A') 0.0681818181818
(u'LOVELL, M', u'HIST186A') 0.0227272727273
(u'LOVELL, M', u'AMERI10') 0.0340909090909
(u'LOVELL, M', u'HIST185A') 0.0
(u'LOVELL, M', u'HA185') 0.0113636363636
(u'LOVELL, M', u'AS10') 0.0227272727273
(u'LOVELL, M', u'AM10') -0.0113636363636
(u'KOPELL, M', u'FILM180') 0.0535714285714
(u'KOPELL, M', u'SCREENWRITING') 0.0892857142857
(u'KOPELL, M', u'FILM180A') 0.178571428571
(u'KOPELL, M', u'FILM185') 0.321428571429
(u'WEISSELBERG, C', u'CRIMPRO') 0.5
(u'PIATOTE, B', u'NAS152') 0.25
(u'PIATOTE, B', u'NA102') 0.375
(u'HERMANOWICZ, S', u'ENGE10') -0.125
(u'HERMANOWICZ, S', u'E10') -0.145833333333
(u'HERMANOWICZ, S', u'ENGIN10') 0.125
(u'HERMANOWICZ, S', u'CE112') 0.0833333333333
(u'HERMANOWICZ, S', u'CE211A') -0.0416666666667
(u'VOJTA, P', u'1B') -0.03125
(u'VOJTA, P', u'MATH1B') -0.275
(u'VOJTA, P', u'MATH1A') 0.0125
(u'VOJTA, P', u'MATH54') -0.15
(u'VOJTA, P', u'MATH185') -0.0125
(u'PRIDE, S', u'EPS104') 0.25
(u'CHAUDRY, K', u'POLDEVE') -0.03125
(u'CHAUDRY, K', u'PS139B') 0.00625
(u'CHAUDRY, K', u'POLS462') -0.1
(u'CHAUDRY, K', u'PS139') -0.01875
(u'CHAUDRY, K', u'139B') 0.0125
(u'CHAUDRY, K', u'PS142A') -0.10625
(u'CHAUDRY, K', u'POLS142A') -0.0375
